"species" "myoglobin"
"Harbour" 49.69
"Harbour" 51.02
"Harbour" 41.57
"Harbour" 45.57
"Harbour" 39.38
"Harbour" 43.06
"Harbour" 55.68
"Harbour" 66.08
"Harbour" 56.01
"Harbour" 47.04
"Harbour" 51.48
"Harbour" 50.88
"Harbour" 53.37
"Harbour" 35.27
"Harbour" 45.25
"Harbour" 38.35
"Harbour" 50.47
"Harbour" 49.38
"Harbour" 41.64
"Harbour" 41.48
"Harbour" 45.79
"Harbour" 48.08
"Harbour" 57.29
"Harbour" 61.16
"Harbour" 48.84
"Harbour" 62.21
"Harbour" 37.99
"Harbour" 40.57
"Harbour" 67.26
"Harbour" 48.45
"Weddell" 55.41
"Weddell" 40.08
"Weddell" 46.29
"Weddell" 29.83
"Weddell" 52.5
"Weddell" 37.37
"Weddell" 42.81
"Weddell" 51.35
"Weddell" 48.51
"Weddell" 44.02
"Weddell" 58
"Weddell" 45.42
"Weddell" 37.11
"Weddell" 39.27
"Weddell" 45.15
"Weddell" 51.14
"Weddell" 38.13
"Weddell" 36.48
"Weddell" 49.42
"Weddell" 61.95
"Weddell" 45.74
"Weddell" 56.97
"Weddell" 42.65
"Weddell" 40.03
"Weddell" 31.92
"Weddell" 42.74
"Weddell" 46.02
"Weddell" 39.02
"Weddell" 50.06
"Weddell" 34.42
"Bladdernose" 56.19
"Bladdernose" 48.36
"Bladdernose" 37.77
"Bladdernose" 42.75
"Bladdernose" 27.01
"Bladdernose" 43.1
"Bladdernose" 42.38
"Bladdernose" 29.86
"Bladdernose" 42.26
"Bladdernose" 58.14
"Bladdernose" 32.23
"Bladdernose" 38.39
"Bladdernose" 52.57
"Bladdernose" 53.92
"Bladdernose" 42.3
"Bladdernose" 46.41
"Bladdernose" 44.57
"Bladdernose" 48.97
"Bladdernose" 40.17
"Bladdernose" 41.37
"Bladdernose" 38.65
"Bladdernose" 35.1
"Bladdernose" 48.23
"Bladdernose" 33.17
"Bladdernose" 38.42
"Bladdernose" 26.01
"Bladdernose" 50.01
"Bladdernose" 42.63
"Bladdernose" 46.97
"Bladdernose" 41.57
